ID	Name	Category Number	Category Name	Category	Last Updated
map05216	Thyroid cancer	5.1	Cancers	5.1 Cancers	26-Jan-09
map05217	Basal cell carcinoma	5.1	Cancers	5.1 Cancers	26-Jan-09
map05218	Melanoma	5.1	Cancers	5.1 Cancers	26-Jan-09
map05219	Bladder cancer	5.1	Cancers	5.1 Cancers	26-Jan-09
map05220	Chronic myeloid leukemia	5.1	Cancers	5.1 Cancers	26-Jan-09
map05221	Acute myeloid leukemia	5.1	Cancers	5.1 Cancers	27-Jan-09
map05222	Small cell lung cancer	5.1	Cancers	5.1 Cancers	26-Jan-09
map05223	Non-small cell lung cancer	5.1	Cancers	5.1 Cancers	26-Jan-09
map05310	Asthma	5.2	Immune Disorders	5.2 Immune Disorders	27-Jan-09
map05320	Autoimmune thyroid disease	5.2	Immune Disorders	5.2 Immune Disorders	27-Jan-09
map05322	Systemic lupus erythematosus	5.2	Immune Disorders	5.2 Immune Disorders	27-Jan-09
map05330	Allograft rejection	5.2	Immune Disorders	5.2 Immune Disorders	27-Jan-09
map05332	Graft-versus-host disease	5.2	Immune Disorders	5.2 Immune Disorders	27-Jan-09
map05340	Primary immunodeficiency	5.2	Immune Disorders	5.2 Immune Disorders	21-Mar-09
map05010	Alzheimer's disease	5.3	Neurodegenerative Diseases	5.3 Neurodegenerative Diseases	11-Mar-09
map05012	Parkinson's disease	5.3	Neurodegenerative Diseases	5.3 Neurodegenerative Diseases	15-Jan-09
map05014	Amyotrophic lateral sclerosis (ALS)	5.3	Neurodegenerative Diseases	5.3 Neurodegenerative Diseases	25-Dec-08
map05040	Huntington's disease	5.3	Neurodegenerative Diseases	5.3 Neurodegenerative Diseases	26-Jan-09
map05050	Dentatorubropallidoluysian atrophy (DRPLA)	5.3	Neurodegenerative Diseases	5.3 Neurodegenerative Diseases	31-Jan-09
map05060	Prion diseases	5.3	Neurodegenerative Diseases	5.3 Neurodegenerative Diseases	24-Jan-09
map04930	Type II diabetes mellitus	5.4	Metabolic Disorders	5.4 Metabolic Disorders	5-Feb-09
map04940	Type I diabetes mellitus	5.4	Metabolic Disorders	5.4 Metabolic Disorders	30-Jan-09
map04950	Maturity onset diabetes of the young	5.4	Metabolic Disorders	5.4 Metabolic Disorders	5-Feb-09
map05110	Vibrio cholerae infection	5.5	Infectious Diseases	5.5 Infectious Diseases	3-Feb-09
map05111	Vibrio cholerae pathogenic cycle	5.5	Infectious Diseases	5.5 Infectious Diseases	27-Jan-09
map05120	Epithelial cell signaling in Helicobacter pylori infection	5.5	Infectious Diseases	5.5 Infectious Diseases	3-Feb-09
map05130	Pathogenic Escherichia coli infection	5.5	Infectious Diseases	5.5 Infectious Diseases	30-Jan-09
